fid,lo_tp_quad,lo_tp_lote,SQL,IPTU22_QtdProprietarios,IPTU22_AnoConstrucaoCorrigido,IPTU22_AreaTerreno,IPTU22_AreaConstruida,IPTU22_AreaOcupada,IPTU22_CA,IPTU22_QtdPavimentos,IPTU22_QtdEsquinas,IPTU22_TipoTerreno,IPTU22_Testada,IPTU_Progressivo,PEUC,Tombado,Ocupado,Publico,UnicoDono,Tipologia
"4906",F,F,"0030130017","1","1940","89.0","107.0","60.0","12","20","0.0",Normal,"4,95",Não,Não,Não,Não,Não,Sim,Residencial
"4907",F,F,"0020800102","1","1929","74.0","40.0","40.0","5","10","0.0",Terreno interno,"4,95",Não,Não,Não,Não,Não,Sim,Residencial
"4908",F,F,"0020450041","1","1939","140.0","100.0","100.0","7","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4910",F,F,"0020450040","1","1970","140.0","100.0","100.0","7","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4911",F,F,"0020570113","1","1992","746.0","970.0","746.0","13","30","0.0",Normal,"12,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4912",F,F,"0080170024","1","1989","555.0","464.0","309.0","8","20","1.0",De esquina,"19,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"4913",F,F,"0080480100","1","1976","63.0","30.0","30.0","5","10","0.0",Normal,"3,15",Não,Não,Não,Não,Não,Sim,Não Residencial
"4914",F,F,"0020830038","1","1957","95.0","90.0","90.0","9","10","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4915",F,F,"0080370005","1","1958","175.0","300.0","150.0","17","30","0.0",Normal,"7,40",Não,Não,Sim,Não,Não,Sim,Não Residencial
"4916",F,F,"0020790005","1","1966","104.0","140.0","70.0","13","20","0.0",Normal,"6,15",Não,Não,Não,Não,Não,Sim,Residencial
"4917",F,F,"0080170025","1","1954","100.0","140.0","90.0","14","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"4918",F,F,"0080170004","1","1948","400.0","600.0","250.0","15","30","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4919",F,F,"0020770033","1","1971","210.0","420.0","210.0","20","20","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"4920",F,F,"0030200115","1","1986","592.0","593.0","592.0","10","10","0.0",Normal,"14,80",Não,Não,Não,Não,Não,Sim,Não Residencial
"4921",F,F,"0020770034","1","1959","112.0","350.0","110.0","31","30","0.0",Normal,"4,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"4922",F,F,"0080190039","1","1939","225.0","105.0","65.0","5","20","0.0",Normal,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"4923",F,F,"0080380018","1","1939","118.0","180.0","90.0","15","20","0.0",Normal,"5,90",Não,Não,Não,Não,Não,Sim,Uso Misto
"4925",F,F,"0030280124","1","1959","3377.0","2968.0","2968.0","9","10","0.0",Normal,"16,70",Não,Não,Não,Não,Não,Sim,Não Residencial
"4926",F,F,"0080250010","1","1949","320.0","250.0","170.0","8","20","0.0",Normal,"10,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4927",F,F,"0030130041","1","1975","77.0","120.0","60.0","16","20","0.0",Normal,"5,40",Não,Não,Não,Não,Não,Sim,Residencial
"4928",F,F,"0030280046","1","1970","480.0","494.0","469.0","10","20","0.0",Normal,"9,60",Não,Não,Não,Não,Não,Sim,Não Residencial
"4929",F,F,"0030280047","1","1971","350.0","361.0","340.0","10","20","0.0",Normal,"7,00",Não,Não,Não,Não,Não,Sim,Não Residencial
"4930",F,F,"0020800010","1","1919","60.0","50.0","50.0","8","10","0.0",Terreno interno,"5,00",Não,Não,Não,Não,Não,Sim,Residencial
"4932",F,F,"0080380016","1","1947","2420.0","2200.0","700.0","9","40","1.0",De esquina,"55,00",Não,Não,Não,Não,Sim,Sim,Não Residencial
"4933",F,F,"0020830013","1","1929","138.0","210.0","70.0","15","30","0.0",Normal,"5,60",Não,Não,Não,Não,Não,Sim,Uso Misto
"4934",F,F,"0020830014","1","1978","131.0","366.0","131.0","28","30","0.0",Normal,"5,10",Não,Não,Não,Não,Não,Sim,Não Residencial
"4935",F,F,"0020770057","1","1976","159.0","259.0","159.0","16","20","0.0",Normal,"7,05",Não,Não,Não,Não,Não,Sim,Não Residencial
"4936",F,F,"0080480030","1","0","412.0","0.0","0.0","0","0","0.0",Normal,"10,30",Não,Não,Não,Não,Não,Sim,Terreno
"4937",F,F,"0030130003","1","1944","182.0","102.0","81.0","6","10","0.0",Normal,"5,27",Não,Não,Não,Não,Não,Sim,Não Residencial
"4938",F,F,"0020450021","1","1970","150.0","260.0","140.0","17","20","0.0",Normal,"6,00",Não,Não,Não,Não,Não,Sim,Uso Misto
"4939",F,F,"0080480042","1","1970","454.0","965.0","400.0","21","30","0.0",Normal,"10,80",Não,Não,Não,Não,Não,Sim,Não Residencial
